,x
1,1
2,1
3,2
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,1
13,2
14,1
15,1
16,1
17,1
18,2
19,2
20,1
21,2
22,2
23,2
24,2
25,1
26,1
27,2
28,2
29,2
30,1
31,1
32,2
33,1
34,1
35,1
36,1
37,2
38,2
39,2
40,1
41,2
42,1
43,1
44,1
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,2
68,1
69,1
70,2
71,1
72,2
73,1
74,1
75,1
76,1
77,2
78,1
79,2
80,1
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,2
89,2
90,1
91,1
92,2
93,1
94,2
95,1
96,2
97,2
98,2
99,1
100,2
101,1
102,2
103,2
104,1
105,1
106,1
107,1
108,2
109,1
110,1
111,2
112,1
113,1
114,2
115,1
116,1
117,1
118,1
119,1
120,2
121,2
122,2
123,1
124,2
125,1
126,2
127,1
128,2
129,2
130,2
131,2
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,2
141,1
142,1
143,2
144,1
145,1
146,1
147,2
148,1
149,1
150,1
151,1
152,2
153,2
154,2
155,1
156,2
157,1
158,2
159,1
160,1
161,1
162,1
163,1
164,2
165,2
166,1
167,1
168,2
169,1
170,2
171,2
172,2
173,2
174,2
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,2
186,2
187,1
188,1
189,1
190,1
191,2
192,1
193,1
194,1
195,2
196,2
197,2
198,1
199,1
200,2
201,1
202,2
203,1
204,1
205,2
206,2
207,1
208,2
209,1
210,1
211,2
212,2
213,2
214,2
215,2
216,2
217,1
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,1
226,1
227,2
228,1
229,1
230,2
231,1
232,2
233,1
234,2
235,2
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,2
244,2
245,1
246,1
247,2
248,2
249,2
250,2
251,1
252,2
253,1
254,2
255,1
256,2
257,2
258,1
259,2
260,1
261,2
262,1
263,2
264,2
265,2
266,1
267,2
268,1
269,2
270,1
271,2
272,2
273,2
274,1
275,1
276,2
277,2
278,2
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,1
287,2
288,2
289,1
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,1
298,2
299,1
300,1
301,1
302,2
303,2
304,2
305,1
306,1
307,2
308,1
309,1
310,2
311,1
312,2
313,2
314,1
315,1
316,2
317,1
318,2
319,2
320,2
321,2
322,1
323,1
324,1
325,1
326,2
327,1
328,2
329,2
330,1
331,2
332,1
333,1
334,2
335,2
336,1
337,2
338,1
339,2
340,2
341,1
342,1
343,1
344,1
345,2
346,2
347,2
348,2
349,1
350,2
351,2
352,2
353,1
354,1
355,2
356,1
357,1
358,1
359,2
360,1
361,1
362,2
363,1
364,1
365,1
366,1
367,1
368,2
369,2
370,1
371,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,2
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,2
390,2
391,2
392,1
393,1
394,1
395,1
396,1
397,2
398,1
399,2
400,1
401,1
402,1
403,2
404,2
405,1
406,2
407,2
408,2
409,2
410,1
411,2
412,1
413,1
414,2
415,1
416,2
417,2
418,2
419,2
420,1
421,1
422,2
423,1
424,2
425,1
426,2
427,2
428,1
429,2
430,1
431,1
432,2
433,2
434,2
435,1
436,2
437,1
438,2
439,2
440,2
441,2
442,2
443,1
444,2
445,2
446,1
447,2
448,2
449,1
450,2
451,2
452,1
453,1
454,2
455,2
456,2
457,1
458,2
459,1
460,1
461,2
462,1
463,1
464,1
465,2
466,1
467,2
468,2
469,1
470,2
471,2
472,1
473,1
474,1
475,2
476,1
477,1
478,2
479,2
480,2
481,2
482,1
483,1
484,2
485,1
486,1
487,1
488,1
489,2
490,2
491,1
492,1
493,1
494,2
495,1
496,2
497,1
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,2
506,2
507,2
508,1
509,1
510,1
511,2
512,1
513,2
514,1
515,2
516,1
517,1
518,2
519,2
520,2
521,2
522,1
523,2
524,1
525,1
526,2
527,1
528,1
529,2
530,2
531,2
532,2
533,1
534,2
535,2
536,1
537,2
538,2
539,1
540,1
541,2
542,2
543,2
544,1
545,1
546,2
547,2
548,2
549,1
550,2
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,2
559,2
560,1
561,2
562,1
563,2
564,1
565,2
566,1
567,1
568,2
569,1
570,1
571,1
572,1
573,2
574,2
575,2
576,1
577,1
578,1
579,1
580,1
581,2
582,1
583,2
584,2
585,2
586,2
587,1
588,2
589,2
590,1
591,1
592,1
593,2
594,1
595,1
596,2
597,1
598,1
599,2
600,1
601,1
602,1
