"","x"
"1",0
"2",2
"3",1
"4",2
"5",1
"6",2
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",0
"14",1
"15",1
"16",3
"17",0
"18",0
"19",0
"20",2
"21",1
"22",1
"23",2
"24",0
"25",2
"26",0
"27",3
"28",0
"29",3
"30",3
"31",2
"32",2
"33",2
"34",1
"35",3
"36",1
"37",2
"38",2
"39",2
"40",2
"41",1
"42",2
"43",2
"44",3
"45",0
"46",1
"47",1
"48",0
"49",3
"50",3
"51",2
"52",0
"53",1
"54",2
"55",1
"56",3
"57",1
"58",2
"59",3
"60",5
"61",1
"62",1
"63",2
"64",2
"65",2
"66",2
"67",1
"68",0
"69",1
"70",1
"71",3
"72",1
"73",2
"74",2
"75",2
"76",1
"77",1
"78",1
"79",3
"80",2
"81",1
"82",2
"83",1
"84",1
"85",1
"86",4
"87",1
"88",2
"89",0
"90",2
"91",0
"92",2
"93",1
"94",2
"95",1
"96",1
"97",2
"98",0
"99",3
"100",1
"101",0
"102",1
"103",1
"104",2
"105",1
"106",2
"107",0
"108",1
"109",0
"110",1
"111",1
"112",1
"113",3
"114",1
"115",2
"116",1
"117",1
"118",2
"119",2
"120",1
"121",3
"122",1
"123",4
"124",2
"125",2
"126",2
"127",1
"128",3
"129",2
"130",2
"131",2
"132",3
"133",1
"134",0
"135",3
"136",0
"137",1
"138",2
"139",2
"140",2
"141",1
"142",0
"143",1
"144",2
"145",1
"146",1
"147",2
"148",0
"149",2
"150",3
"151",2
"152",2
"153",3
"154",3
"155",1
"156",3
"157",1
"158",1
"159",1
"160",2
"161",2
"162",3
"163",1
"164",2
"165",3
"166",3
"167",1
"168",2
"169",3
"170",2
"171",0
"172",3
"173",1
"174",1
"175",3
"176",1
"177",1
"178",1
"179",0
"180",2
"181",2
"182",1
"183",3
"184",2
"185",1
"186",1
"187",2
"188",2
"189",1
"190",2
"191",1
"192",2
"193",2
"194",0
"195",1
"196",1
"197",2
"198",3
"199",3
"200",3
"201",3
"202",2
"203",2
"204",0
"205",1
"206",2
"207",1
"208",2
"209",2
"210",3
"211",0
"212",2
"213",2
"214",3
"215",1
"216",3
"217",0
"218",2
"219",2
"220",1
"221",0
"222",2
"223",0
"224",0
"225",1
"226",2
"227",1
"228",2
"229",0
"230",1
"231",2
"232",0
"233",2
"234",1
"235",0
"236",2
"237",0
"238",3
"239",1
"240",1
"241",3
"242",2
"243",1
"244",0
"245",1
"246",3
"247",2
"248",4
"249",0
"250",1
"251",1
"252",1
"253",3
"254",4
"255",0
"256",3
"257",4
"258",0
"259",1
"260",2
"261",2
"262",0
"263",0
"264",0
"265",1
"266",1
"267",1
"268",2
"269",1
"270",0
"271",1
"272",1
"273",1
"274",0
"275",1
"276",2
"277",1
"278",0
"279",0
"280",2
"281",0
"282",1
"283",3
"284",3
"285",1
"286",0
"287",0
"288",3
"289",1
"290",1
"291",3
"292",3
"293",2
"294",3
"295",1
"296",2
"297",2
"298",2
"299",1
"300",2
"301",2
"302",2
"303",3
"304",3
"305",1
"306",2
"307",0
"308",2
"309",2
"310",1
"311",2
"312",1
"313",0
"314",2
"315",2
"316",1
"317",2
"318",2
"319",2
"320",1
"321",0
"322",1
"323",1
"324",0
"325",1
"326",3
"327",1
"328",1
"329",3
"330",0
"331",1
"332",0
"333",0
"334",1
"335",0
"336",2
"337",2
"338",1
"339",0
"340",1
"341",1
"342",0
"343",1
"344",1
"345",1
"346",1
"347",0
"348",1
"349",2
"350",1
"351",2
"352",3
"353",2
"354",1
"355",2
"356",0
"357",1
"358",1
"359",2
"360",1
"361",1
"362",0
"363",3
"364",0
"365",3
"366",1
"367",1
"368",5
"369",1
"370",1
"371",0
"372",1
"373",1
"374",2
"375",0
"376",1
"377",1
"378",4
"379",3
"380",2
"381",1
"382",1
"383",1
"384",0
"385",1
"386",0
"387",2
"388",0
"389",2
"390",3
"391",1
"392",1
"393",0
"394",2
"395",3
"396",1
"397",1
"398",1
"399",0
"400",2
"401",2
"402",0
"403",1
"404",3
"405",1
"406",3
"407",2
"408",2
"409",3
"410",1
"411",1
"412",3
"413",2
"414",1
"415",1
"416",1
"417",1
"418",2
"419",2
"420",1
"421",0
"422",1
"423",2
"424",3
"425",2
"426",1
"427",3
"428",4
"429",2
"430",2
"431",2
"432",3
"433",1
"434",2
"435",1
"436",1
"437",2
"438",3
"439",0
"440",1
"441",0
"442",2
"443",1
"444",3
"445",1
"446",5
"447",3
"448",1
"449",1
"450",5
"451",1
"452",2
"453",1
"454",2
"455",1
"456",1
"457",0
"458",0
"459",2
"460",3
"461",3
"462",1
"463",2
"464",2
"465",0
"466",1
"467",2
"468",4
"469",1
"470",1
"471",1
"472",2
"473",0
"474",3
"475",0
"476",0
"477",0
"478",1
"479",1
"480",2
"481",2
"482",1
"483",0
"484",3
"485",2
"486",2
"487",2
"488",2
"489",1
"490",2
"491",2
"492",1
"493",1
"494",0
"495",0
"496",1
"497",2
"498",2
"499",3
"500",1
"501",4
"502",0
"503",1
"504",0
"505",2
"506",4
"507",2
"508",3
"509",3
"510",3
"511",2
"512",0
"513",2
"514",2
"515",2
"516",2
"517",1
"518",2
"519",0
"520",3
"521",2
"522",2
"523",3
"524",2
"525",0
"526",0
"527",1
"528",2
"529",0
"530",0
"531",1
"532",1
"533",1
"534",0
"535",2
"536",0
"537",2
"538",0
"539",2
"540",4
"541",3
"542",2
"543",1
"544",1
"545",1
"546",4
"547",1
"548",1
"549",1
"550",3
"551",2
"552",2
"553",2
"554",1
"555",1
"556",3
"557",0
"558",2
"559",2
"560",2
"561",0
"562",2
"563",3
"564",2
"565",4
"566",4
"567",1
"568",2
"569",3
"570",2
"571",1
"572",3
"573",1
"574",1
"575",5
"576",2
"577",2
"578",0
"579",2
"580",1
"581",1
"582",1
"583",2
"584",3
"585",1
"586",1
"587",1
"588",2
"589",2
"590",0
"591",2
"592",2
"593",2
"594",1
"595",0
"596",2
"597",1
"598",1
"599",1
"600",0
"601",1
"602",0
"603",0
"604",3
"605",1
"606",0
"607",1
"608",1
"609",2
"610",3
"611",2
"612",2
"613",0
"614",2
"615",0
"616",0
"617",2
"618",1
"619",3
"620",2
"621",0
"622",0
"623",1
"624",2
"625",1
"626",1
"627",0
"628",1
"629",3
"630",1
"631",1
"632",5
"633",1
"634",2
"635",4
"636",0
"637",2
"638",1
"639",2
"640",3
"641",1
"642",1
"643",2
"644",2
"645",1
"646",1
"647",3
"648",2
"649",2
"650",1
"651",1
"652",3
"653",0
"654",2
"655",1
"656",0
"657",1
"658",0
"659",2
"660",1
"661",2
"662",1
"663",2
"664",1
"665",2
"666",1
"667",3
"668",2
"669",1
"670",3
"671",1
"672",2
"673",1
"674",2
"675",2
"676",0
"677",1
"678",1
"679",2
"680",1
"681",1
"682",0
"683",1
"684",1
"685",1
"686",1
"687",2
"688",1
"689",1
"690",0
"691",3
"692",0
"693",1
"694",1
"695",1
"696",3
"697",0
"698",3
"699",1
"700",1
"701",3
"702",1
"703",3
"704",3
"705",2
"706",2
"707",2
"708",2
"709",2
"710",2
"711",0
"712",3
"713",3
"714",3
"715",2
"716",1
"717",1
"718",1
"719",2
"720",1
"721",2
"722",2
"723",1
"724",2
"725",2
"726",0
"727",1
"728",4
"729",1
"730",2
"731",1
"732",1
"733",3
"734",1
"735",1
"736",2
"737",1
"738",1
"739",0
"740",3
"741",2
"742",1
"743",1
"744",0
"745",3
"746",3
"747",1
"748",3
"749",2
"750",2
"751",1
"752",1
"753",1
"754",2
"755",2
"756",3
"757",2
"758",1
"759",0
"760",1
"761",1
"762",2
"763",1
"764",1
"765",2
"766",1
"767",2
"768",1
"769",0
"770",4
"771",2
"772",0
"773",3
"774",2
"775",0
"776",1
"777",1
"778",1
"779",1
"780",3
"781",0
"782",2
"783",1
"784",1
"785",1
"786",0
"787",0
"788",3
"789",0
"790",0
"791",1
"792",1
"793",2
"794",3
"795",2
"796",2
"797",0
"798",2
"799",2
"800",3
"801",2
"802",2
"803",1
"804",1
"805",1
"806",0
"807",3
"808",3
"809",2
"810",2
"811",0
"812",2
"813",3
"814",1
"815",2
"816",2
"817",4
"818",0
"819",1
"820",0
"821",1
"822",1
"823",0
"824",1
"825",0
"826",3
"827",3
"828",2
"829",3
"830",1
"831",1
"832",0
"833",2
"834",0
"835",2
"836",1
"837",0
"838",0
"839",1
"840",0
"841",2
"842",1
"843",1
"844",3
"845",1
"846",1
"847",2
"848",2
"849",3
"850",0
"851",3
"852",2
"853",2
"854",2
"855",0
"856",1
"857",1
"858",2
"859",4
"860",1
"861",2
"862",0
"863",1
"864",1
"865",2
"866",0
"867",1
"868",2
"869",2
"870",1
"871",0
"872",3
"873",1
"874",3
"875",0
"876",1
"877",0
"878",2
"879",3
"880",1
"881",2
"882",1
"883",1
"884",0
"885",0
"886",0
"887",1
"888",1
"889",1
"890",1
"891",1
"892",1
"893",2
"894",2
"895",0
"896",2
"897",2
"898",0
"899",1
"900",0
"901",2
"902",2
"903",1
"904",3
"905",1
"906",2
"907",1
"908",1
"909",2
"910",0
"911",1
"912",1
"913",2
"914",0
"915",1
"916",1
"917",2
"918",3
"919",1
"920",1
"921",2
"922",2
"923",1
"924",3
"925",2
"926",4
"927",1
"928",3
"929",1
"930",1
"931",1
"932",1
"933",1
"934",2
"935",3
"936",3
"937",1
"938",0
"939",2
"940",1
"941",1
"942",0
"943",2
"944",1
"945",1
"946",0
"947",5
"948",2
"949",0
"950",1
"951",1
"952",1
"953",2
"954",1
"955",1
"956",1
"957",1
"958",4
"959",2
"960",2
"961",1
"962",1
"963",1
"964",2
"965",1
"966",2
"967",1
"968",2
"969",1
"970",2
"971",1
"972",0
"973",1
"974",4
"975",3
"976",1
"977",1
"978",2
"979",3
"980",2
"981",1
"982",1
"983",2
"984",2
"985",1
"986",2
"987",2
"988",3
"989",1
"990",1
"991",2
"992",0
"993",1
"994",0
"995",1
"996",1
"997",2
"998",2
"999",0
"1000",3
