"","x"
"1",1
"2",4
"3",0
"4",2
"5",0
"6",2
"7",2
"8",1
"9",4
"10",0
"11",2
"12",0
"13",2
"14",1
"15",1
"16",2
"17",2
"18",2
"19",2
"20",2
"21",0
"22",2
"23",1
"24",3
"25",2
"26",0
"27",1
"28",2
"29",1
"30",1
"31",3
"32",2
"33",2
"34",1
"35",2
"36",2
"37",2
"38",1
"39",1
"40",2
"41",3
"42",2
"43",2
"44",2
"45",0
"46",1
"47",0
"48",2
"49",3
"50",3
"51",1
"52",2
"53",2
"54",0
"55",2
"56",2
"57",3
"58",2
"59",3
"60",2
"61",2
"62",2
"63",4
"64",3
"65",1
"66",1
"67",0
"68",0
"69",2
"70",1
"71",2
"72",2
"73",1
"74",4
"75",0
"76",0
"77",0
"78",1
"79",2
"80",1
"81",1
"82",3
"83",0
"84",0
"85",3
"86",3
"87",0
"88",3
"89",3
"90",1
"91",3
"92",2
"93",3
"94",2
"95",2
"96",0
"97",1
"98",0
"99",1
"100",0
