	CUBO	ELBO	IWELBO	KHAT	encoder_type	eval_encoder_name	experiment
0	-16.5471875	-18.358745727539063	-17.68358154296875	0.5824588947689721	train	train	0
1	-16.42423583984375	-18.742242431640626	-17.68279541015625	0.6179606160494778	['ELBO']	VAE	0
2	-16.903951416015627	-19.531962280273437	-17.6763037109375	0.4038444052683398	['IWELBO']	IWAE	0
3	-16.827212524414062	-18.933387451171875	-17.68361877441406	0.49878718304017666	['REVKL']	Forward KL	0
4	-16.87206787109375	-20.036439208984376	-17.680325317382813	0.3088569685719456	['CUBO']	$\chi$	0
5	-16.931259155273438	-20.1045703125	-17.673282470703125	0.2622767069981425	['CUBO']	$\chi$ (St)	0
6	-16.94979248046875	-19.053857421875	-17.678374633789062	0.3332303362424226	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
7	-16.264480590820312	-17.663120727539063	-17.14219970703125	0.5575137625303904	train	train	1
8	-16.188382568359376	-17.7559130859375	-17.1447412109375	0.5677380604935066	['ELBO']	VAE	1
9	-16.49162780761719	-18.181184692382814	-17.138040161132814	0.4155672316537176	['IWELBO']	IWAE	1
10	-16.458218994140626	-17.871890869140625	-17.139354858398438	0.4843865933790469	['REVKL']	Forward KL	1
11	-16.50639953613281	-19.184528198242187	-17.14128173828125	0.15513964892200172	['CUBO']	$\chi$	1
12	-16.497138061523437	-19.5169384765625	-17.138579711914062	0.18448919533678296	['CUBO']	$\chi$ (St)	1
13	-16.529804077148437	-18.025361938476564	-17.140862426757813	0.31043885548359035	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
14	-17.02055969238281	-18.79493957519531	-18.092889404296876	0.5956789633451288	train	train	2
15	-16.70544921875	-19.21703857421875	-18.082418823242186	0.6078489874523851	['ELBO']	VAE	2
16	-17.293784790039062	-19.71080810546875	-18.09904052734375	0.4030571956984331	['IWELBO']	IWAE	2
17	-17.088312377929686	-19.203294067382814	-18.09190979003906	0.5318320058633661	['REVKL']	Forward KL	2
18	-17.31824462890625	-20.570840454101564	-18.093348388671874	0.2680973725292243	['CUBO']	$\chi$	2
19	-17.385645751953124	-20.469923706054686	-18.098003540039063	0.2966365526097129	['CUBO']	$\chi$ (St)	2
20	-17.28161437988281	-19.532882690429688	-18.092141723632814	0.3585357691425623	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
