	CUBO	IWELBO	KHAT	a2_norm	encoder_type	eval_encoder_name	experiment
0	-16.26169372558594	-17.122407836914064	0.5510806408998945	1.4623509152170717	train	train	0
1	-16.180527954101564	-17.129591674804686	0.5439149463206797	1.4289097074581565	['ELBO']	VAE	0
2	-16.545955810546875	-17.1225732421875	0.37047280887526046	0.9419506929823251	['IWELBO']	IWAE	0
3	-16.383417358398436	-17.123067626953127	0.49137561936014973	1.028117804796873	['REVKL']	Forward KL	0
4	-16.483855590820312	-17.120820922851564	0.23600910059746716	0.9520717943621125	['CUBO']	$\chi$	0
5	-16.50526611328125	-17.12568908691406	0.1793416086906064	0.9516253811858989	['CUBO']	$\chi$ (St)	0
6	-16.52589538574219	-17.121724853515627	0.3174840268191219	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
7	-16.162006225585937	-17.171366577148437	0.5747564610013647	1.7434265834319758	train	train	1
8	-16.114440307617187	-17.1589794921875	0.5812422974848693	1.66471449027068	['ELBO']	VAE	1
9	-16.515762939453126	-17.169114379882814	0.38401683448108054	0.9342082794871692	['IWELBO']	IWAE	1
10	-16.2337890625	-17.173338623046874	0.5398356980446208	1.2551558614650435	['REVKL']	Forward KL	1
11	-16.513123168945313	-17.16444091796875	0.25768706628548466	0.9525077246214855	['CUBO']	$\chi$	1
12	-16.539136352539064	-17.166265869140624	0.21541739436206325	0.9551982079502739	['CUBO']	$\chi$ (St)	1
13	-16.539351806640624	-17.164642333984375	0.3082198443160076	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
14	-16.331845703125	-17.205437622070313	0.5563202919359966	1.6038248631650276	train	train	2
15	-16.246089477539062	-17.208212890625	0.5536969841849644	1.5073617276566387	['ELBO']	VAE	2
16	-16.668390502929686	-17.208388671875	0.3657277887511864	0.938916875407991	['IWELBO']	IWAE	2
17	-16.431937866210937	-17.202723999023437	0.48285278401321047	1.0548575131777174	['REVKL']	Forward KL	2
18	-16.61348205566406	-17.206603393554687	0.2184889912802278	0.9500295929476621	['CUBO']	$\chi$	2
19	-16.593090209960938	-17.212181396484375	0.18462086336177172	0.9512842282770919	['CUBO']	$\chi$ (St)	2
20	-16.604219970703124	-17.208907470703124	0.2883233202206566	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
21	-16.300238037109374	-17.148299560546874	0.5406796250215026	1.418088572524546	train	train	3
22	-16.184207763671875	-17.154705810546876	0.5518668322091412	1.476248924386673	['ELBO']	VAE	3
23	-16.56146484375	-17.155892333984376	0.39315708414672335	0.9362588018140738	['IWELBO']	IWAE	3
24	-16.545435791015624	-17.151768188476563	0.4409193959511449	0.9372850065932249	['REVKL']	Forward KL	3
25	-16.538641967773437	-17.15508056640625	0.19085685492064094	0.9489402585549433	['CUBO']	$\chi$	3
26	-16.5053759765625	-17.15360595703125	0.18908574444453902	0.9547844175892186	['CUBO']	$\chi$ (St)	3
27	-16.5469580078125	-17.1531640625	0.3355084517613514	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
28	-16.208013305664064	-17.1219091796875	0.5640401071216493	1.5908501541016773	train	train	4
29	-16.147108764648436	-17.11996826171875	0.5603865824653161	1.486215584964848	['ELBO']	VAE	4
30	-16.490647583007814	-17.120130004882814	0.35852174431068884	0.9382311150949664	['IWELBO']	IWAE	4
31	-16.43560607910156	-17.12315185546875	0.48660746147413425	1.0011502542870678	['REVKL']	Forward KL	4
32	-16.4691064453125	-17.12081787109375	0.23931752307153611	0.9483210616769727	['CUBO']	$\chi$	4
33	-16.453156127929688	-17.12041259765625	0.1618557591787242	0.9519390662893009	['CUBO']	$\chi$ (St)	4
34	-16.544755859375	-17.12448486328125	0.28725210944401847	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
35	-15.768369140625	-16.9233837890625	0.5101617071523661	1.2375386412084688	train	train	0
36	-14.983187255859375	-16.990497436523437	0.7600263727706912	3.9797976497247607	['ELBO']	VAE	0
37	-15.709714965820313	-16.92556640625	0.5157535892711627	1.179707579793328	['IWELBO']	IWAE	0
38	-15.427176513671874	-16.929629516601562	0.6165531927253634	1.9546389482604958	['REVKL']	Forward KL	0
