	CUBO	IWELBO	MAE	PSIS	a2_norm	encoder_type	eval_encoder_name	experiment
0	-16.06717041015625	-17.155911254882813	"[9.52564005e-02 9.52701760e-02 9.50915345e-02 9.53054295e-02
 9.55066776e-02 9.54176894e-02 9.54586136e-02 9.54684563e-02
 9.53239112e-02 9.53867954e-02 9.53263958e-02 9.55818974e-02
 9.58183487e-02 9.60589044e-02 9.62803780e-02 9.61054020e-02
 9.60639013e-02 9.54470890e-02 9.56670884e-02 9.53216484e-02
 9.60723168e-02 9.56762093e-02 9.37729344e-02 9.06593600e-02
 8.48527907e-02 7.95116152e-02 7.08155231e-02 5.88678665e-02
 4.34548379e-02 3.01013652e-02 1.88981350e-02 9.07358695e-03
 1.31308785e-03 2.54728323e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.6016542023664232	1.8120266932355396	train	train	0
1	-16.11646423339844	-17.159259033203124	"[1.03837838e-01 1.03909790e-01 1.03881215e-01 1.04261543e-01
 1.04358668e-01 1.04471705e-01 1.04932127e-01 1.04722215e-01
 1.04792752e-01 1.05380074e-01 1.05979276e-01 1.06474152e-01
 1.05880784e-01 1.06391013e-01 1.06209407e-01 1.05658055e-01
 1.04977797e-01 1.04609363e-01 1.05195107e-01 1.03658483e-01
 1.04894889e-01 1.03923922e-01 1.01140929e-01 9.54384591e-02
 8.94003842e-02 8.17029576e-02 7.52400651e-02 5.81725692e-02
 4.57035858e-02 3.05121094e-02 1.69873268e-02 9.97123982e-03
 2.56334010e-03 2.58829593e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5782194173052039	1.6707413075617767	['ELBO']	VAE	0
2	-16.587721557617186	-17.156742553710938	"[1.00881784e-01 1.00884890e-01 1.01140587e-01 1.01116382e-01
 1.00955133e-01 1.00921139e-01 1.01055484e-01 1.01142060e-01
 1.01055560e-01 1.01116520e-01 1.01144263e-01 1.01518927e-01
 1.01683417e-01 1.02254017e-01 1.02718012e-01 1.02887933e-01
 1.02708199e-01 1.02896643e-01 1.02995710e-01 1.01738032e-01
 9.94513089e-02 9.90038191e-02 9.81842838e-02 9.41378909e-02
 8.79637341e-02 8.19315409e-02 7.32331983e-02 6.25516543e-02
 4.56474609e-02 2.99872624e-02 1.68378654e-02 7.38001071e-03
 2.08082357e-03 4.11386791e-04 5.37794127e-05 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.38085631317530044	0.9417483508631591	['IWELBO']	IWAE	0
3	-16.344876098632813	-17.155215454101562	"[9.87988671e-02 9.86614911e-02 9.86787801e-02 9.88812805e-02
 9.89789316e-02 9.89809045e-02 9.91860397e-02 9.92196459e-02
 9.90464225e-02 9.90303041e-02 9.87266947e-02 9.91121046e-02
 9.87137333e-02 9.87464914e-02 9.92122127e-02 9.93205778e-02
 9.96679248e-02 9.97789017e-02 1.00427246e-01 1.00502790e-01
 9.87240566e-02 9.59632113e-02 9.36635813e-02 9.08899174e-02
 8.61609830e-02 8.02062441e-02 7.36529077e-02 6.42568140e-02
 4.84379075e-02 2.95775893e-02 1.63569102e-02 7.37606477e-03
 1.63834881e-03 2.56219048e-04 6.07715120e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5291127967954751	1.1627525225951525	['REVKL']	Forward KL	0
4	-16.442235107421876	-17.156951904296875	"[9.44072224e-02 9.42274192e-02 9.42221455e-02 9.39766602e-02
 9.42052744e-02 9.41743695e-02 9.45322449e-02 9.50425955e-02
 9.55720913e-02 9.56397341e-02 9.57264956e-02 9.60215589e-02
 9.62985531e-02 9.65134655e-02 9.67375761e-02 9.64874801e-02
 9.67668566e-02 9.67825591e-02 9.62766037e-02 9.72915267e-02
 9.71918334e-02 9.68446995e-02 9.49123942e-02 9.26933193e-02
 8.83873188e-02 8.30442627e-02 7.37223055e-02 6.11185165e-02
 4.70259075e-02 3.08495535e-02 1.67112296e-02 7.20287659e-03
 1.42090858e-03 2.48655109e-04 5.70524587e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.22281267804514945	0.9489073661544052	['CUBO']	$\chi$	0
5	-16.511185302734376	-17.153739013671874	"[9.54865149e-02 9.51201004e-02 9.52264966e-02 9.54101771e-02
 9.56345035e-02 9.56376978e-02 9.56302121e-02 9.57203336e-02
 9.58363743e-02 9.58658207e-02 9.58701591e-02 9.62369731e-02
 9.67167017e-02 9.66650875e-02 9.80029996e-02 9.80118125e-02
 9.83627074e-02 9.81477956e-02 9.78857627e-02 9.76134036e-02
 9.72610779e-02 9.57224798e-02 9.43845276e-02 9.17396327e-02
 8.65975087e-02 7.89415606e-02 7.05085549e-02 5.94410940e-02
 4.81549437e-02 3.41440440e-02 1.90104969e-02 7.42454718e-03
 1.93554737e-03 1.77005204e-04 6.86393251e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.16722441253491946	0.9453234442758229	['CUBO']	$\chi$ (St)	0
6	-16.5229443359375	-17.155582885742188	"[9.36812414e-02 9.37084550e-02 9.38247321e-02 9.38810397e-02
 9.38717891e-02 9.39993838e-02 9.40119110e-02 9.41651251e-02
 9.43710246e-02 9.43452126e-02 9.44142796e-02 9.45618390e-02
 9.48563474e-02 9.49459987e-02 9.50419149e-02 9.50705462e-02
 9.50663422e-02 9.49702876e-02 9.47906230e-02 9.47238838e-02
 9.31892697e-02 9.18431893e-02 8.98156367e-02 8.69653610e-02
 8.28602443e-02 7.66164991e-02 6.81453586e-02 5.69185128e-02
 4.28238329e-02 2.88689809e-02 1.59196121e-02 6.30058355e-03
 1.70912069e-03 1.56462022e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3237856160686111	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
7	-16.32547668457031	-17.13459228515625	"[9.37985382e-02 9.37929025e-02 9.38790733e-02 9.39797924e-02
 9.41564431e-02 9.41203185e-02 9.40986233e-02 9.40557336e-02
 9.38693715e-02 9.35981940e-02 9.36684631e-02 9.32630769e-02
 9.36663510e-02 9.39414540e-02 9.43056324e-02 9.47150454e-02
 9.46302637e-02 9.40501061e-02 9.40308189e-02 9.29309118e-02
 9.18998084e-02 9.14080749e-02 8.99065035e-02 8.78561189e-02
 8.41324602e-02 7.61117828e-02 6.58903230e-02 5.56254529e-02
 4.26036629e-02 2.96274790e-02 1.75752744e-02 7.37438620e-03
 1.67032174e-03 1.52031607e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5345741402247561	1.3496417648081767	train	train	1
8	-16.208101196289064	-17.136041259765626	"[9.68640626e-02 9.68986603e-02 9.69655474e-02 9.70840590e-02
 9.70555191e-02 9.72260786e-02 9.74769199e-02 9.75843036e-02
 9.74680827e-02 9.75660640e-02 9.75265892e-02 9.72478796e-02
 9.77079957e-02 9.85595508e-02 9.80203050e-02 9.73297252e-02
 9.70037557e-02 9.73702946e-02 9.70877565e-02 9.70441993e-02
 9.78441480e-02 9.51553201e-02 9.37436042e-02 9.17804090e-02
 8.78805010e-02 8.10027403e-02 7.24470997e-02 6.27328120e-02
 4.35050470e-02 3.01186615e-02 1.71550793e-02 8.76159248e-03
 2.41761431e-03 2.23482264e-04 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.5599005697159757	1.4054273655090461	['ELBO']	VAE	1
9	-16.572144165039063	-17.134396362304688	"[9.35512384e-02 9.36214198e-02 9.37560271e-02 9.38169862e-02
 9.37498000e-02 9.38691490e-02 9.38872689e-02 9.36110179e-02
 9.33294487e-02 9.32064979e-02 9.34629890e-02 9.38067334e-02
 9.33665325e-02 9.34325629e-02 9.38443369e-02 9.36344664e-02
 9.33994666e-02 9.34303234e-02 9.37110672e-02 9.26208248e-02
 9.26079963e-02 9.12996903e-02 8.89638403e-02 8.56942731e-02
 8.11886227e-02 7.58553353e-02 6.55449890e-02 5.32348908e-02
 4.22596723e-02 2.82085004e-02 1.67178372e-02 9.58817120e-03
 5.25019607e-03 2.10935002e-03 6.88091984e-06 1.87651952e-08
 1.27699296e-12 5.55111512e-19 0.00000000e+00 0.00000000e+00]"	0.3920837939295066	0.9415335461513322	['IWELBO']	IWAE	1
