	encoder_type	eval_encoder_name	experiment	learn_var	loss_gen	loss_wvar	model_name
0	train	train	0	True	ELBO	['ELBO']	VAE
1	['ELBO']	VAE	0	True	ELBO	['ELBO']	VAE
2	['IWELBO']	IWAE	0	True	ELBO	['ELBO']	VAE
3	['REVKL']	Forward KL	0	True	ELBO	['ELBO']	VAE
4	['CUBO']	$\chi$	0	True	ELBO	['ELBO']	VAE
5	['CUBO']	$\chi$ (St)	0	True	ELBO	['ELBO']	VAE
6	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0	True	ELBO	['ELBO']	VAE
7	train	train	1	True	ELBO	['ELBO']	VAE
8	['ELBO']	VAE	1	True	ELBO	['ELBO']	VAE
9	['IWELBO']	IWAE	1	True	ELBO	['ELBO']	VAE
10	['REVKL']	Forward KL	1	True	ELBO	['ELBO']	VAE
11	['CUBO']	$\chi$	1	True	ELBO	['ELBO']	VAE
12	['CUBO']	$\chi$ (St)	1	True	ELBO	['ELBO']	VAE
13	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1	True	ELBO	['ELBO']	VAE
14	train	train	2	True	ELBO	['ELBO']	VAE
15	['ELBO']	VAE	2	True	ELBO	['ELBO']	VAE
16	['IWELBO']	IWAE	2	True	ELBO	['ELBO']	VAE
17	['REVKL']	Forward KL	2	True	ELBO	['ELBO']	VAE
18	['CUBO']	$\chi$	2	True	ELBO	['ELBO']	VAE
19	['CUBO']	$\chi$ (St)	2	True	ELBO	['ELBO']	VAE
20	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2	True	ELBO	['ELBO']	VAE
21	train	train	3	True	ELBO	['ELBO']	VAE
22	['ELBO']	VAE	3	True	ELBO	['ELBO']	VAE
23	['IWELBO']	IWAE	3	True	ELBO	['ELBO']	VAE
24	['REVKL']	Forward KL	3	True	ELBO	['ELBO']	VAE
25	['CUBO']	$\chi$	3	True	ELBO	['ELBO']	VAE
26	['CUBO']	$\chi$ (St)	3	True	ELBO	['ELBO']	VAE
27	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3	True	ELBO	['ELBO']	VAE
28	train	train	4	True	ELBO	['ELBO']	VAE
29	['ELBO']	VAE	4	True	ELBO	['ELBO']	VAE
30	['IWELBO']	IWAE	4	True	ELBO	['ELBO']	VAE
31	['REVKL']	Forward KL	4	True	ELBO	['ELBO']	VAE
32	['CUBO']	$\chi$	4	True	ELBO	['ELBO']	VAE
33	['CUBO']	$\chi$ (St)	4	True	ELBO	['ELBO']	VAE
34	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4	True	ELBO	['ELBO']	VAE
35	train	train	0	True	IWELBO	['IWELBO']	IWAE
36	['ELBO']	VAE	0	True	IWELBO	['IWELBO']	IWAE
37	['IWELBO']	IWAE	0	True	IWELBO	['IWELBO']	IWAE
38	['REVKL']	Forward KL	0	True	IWELBO	['IWELBO']	IWAE
39	['CUBO']	$\chi$	0	True	IWELBO	['IWELBO']	IWAE
40	['CUBO']	$\chi$ (St)	0	True	IWELBO	['IWELBO']	IWAE
41	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0	True	IWELBO	['IWELBO']	IWAE
42	train	train	1	True	IWELBO	['IWELBO']	IWAE
43	['ELBO']	VAE	1	True	IWELBO	['IWELBO']	IWAE
44	['IWELBO']	IWAE	1	True	IWELBO	['IWELBO']	IWAE
45	['REVKL']	Forward KL	1	True	IWELBO	['IWELBO']	IWAE
46	['CUBO']	$\chi$	1	True	IWELBO	['IWELBO']	IWAE
47	['CUBO']	$\chi$ (St)	1	True	IWELBO	['IWELBO']	IWAE
48	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1	True	IWELBO	['IWELBO']	IWAE
49	train	train	2	True	IWELBO	['IWELBO']	IWAE
50	['ELBO']	VAE	2	True	IWELBO	['IWELBO']	IWAE
51	['IWELBO']	IWAE	2	True	IWELBO	['IWELBO']	IWAE
52	['REVKL']	Forward KL	2	True	IWELBO	['IWELBO']	IWAE
53	['CUBO']	$\chi$	2	True	IWELBO	['IWELBO']	IWAE
54	['CUBO']	$\chi$ (St)	2	True	IWELBO	['IWELBO']	IWAE
55	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2	True	IWELBO	['IWELBO']	IWAE
56	train	train	3	True	IWELBO	['IWELBO']	IWAE
57	['ELBO']	VAE	3	True	IWELBO	['IWELBO']	IWAE
58	['IWELBO']	IWAE	3	True	IWELBO	['IWELBO']	IWAE
59	['REVKL']	Forward KL	3	True	IWELBO	['IWELBO']	IWAE
60	['CUBO']	$\chi$	3	True	IWELBO	['IWELBO']	IWAE
61	['CUBO']	$\chi$ (St)	3	True	IWELBO	['IWELBO']	IWAE
62	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3	True	IWELBO	['IWELBO']	IWAE
63	train	train	4	True	IWELBO	['IWELBO']	IWAE
64	['ELBO']	VAE	4	True	IWELBO	['IWELBO']	IWAE
65	['IWELBO']	IWAE	4	True	IWELBO	['IWELBO']	IWAE
66	['REVKL']	Forward KL	4	True	IWELBO	['IWELBO']	IWAE
